Date,Time,Activity,Facility
maandag 26 mei 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
maandag 26 mei 2025,11:00 – 12:00,Zwemmen met een visuele beperking,1/2 Tobbe (horecazijde)
maandag 26 mei 2025,11:15 – 12:15,Warm water zwemmen,Trefkuil
maandag 26 mei 2025,13:00 – 13:45,Schoolzwemmen,Trefkuil
maandag 26 mei 2025,13:00 – 13:45,Schoolzwemmen,Spaardersbad
maandag 26 mei 2025,15:00 – 18:15,Zwemles,Trefkuil
maandag 26 mei 2025,15:00 – 18:15,Zwemles,Spaardersbad
maandag 26 mei 2025,18:30 – 22:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 26 mei 2025,19:20 – 20:05,Zwemles ABC voor volwassenen,Trefkuil
maandag 26 mei 2025,20:10 – 20:55,Zwemles ABC voor volwassenen,Trefkuil
maandag 26 mei 2025,21:00 – 22:00,Warm water zwemmen,Trefkuil
dinsdag 27 mei 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
dinsdag 27 mei 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
dinsdag 27 mei 2025,09:30 – 10:15,Aquajoggen,Spaardersbad
dinsdag 27 mei 2025,10:45 – 11:30,Schoolzwemmen,Trefkuil
dinsdag 27 mei 2025,10:45 – 11:30,Schoolzwemmen,Spaardersbad
dinsdag 27 mei 2025,11:45 – 12:30,Watergymnastiek,Trefkuil
dinsdag 27 mei 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
dinsdag 27 mei 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
dinsdag 27 mei 2025,15:00 – 18:15,Zwemles,Trefkuil
dinsdag 27 mei 2025,15:00 – 18:15,Zwemles,Spaardersbad
dinsdag 27 mei 2025,18:30 – 19:00,Baby- en peuterzwemmen 3 maanden tot 2 jaar,Trefkuil
dinsdag 27 mei 2025,18:30 – 21:30,Banenzwemmen,1/2 Tobbe (buitenbadzijde)
dinsdag 27 mei 2025,19:00 – 19:30,Baby- en peuterzwemmen 2 tot 4 jaar,Trefkuil
dinsdag 27 mei 2025,19:45 – 20:30,Aquajoggen,Trefkuil
woensdag 28 mei 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
woensdag 28 mei 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
woensdag 28 mei 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
woensdag 28 mei 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
woensdag 28 mei 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
woensdag 28 mei 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
woensdag 28 mei 2025,13:00 – 13:45,Zwemles,1/2 Tobbe (horecazijde)
woensdag 28 mei 2025,13:15 – 17:30,Zwemles,Trefkuil
woensdag 28 mei 2025,13:15 – 17:30,Zwemles,Spaardersbad
woensdag 28 mei 2025,20:00 – 21:30,Banenzwemmen,1/2 Tobbe (horecazijde)
donderdag 29 mei 2025,09:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
donderdag 29 mei 2025,09:00 – 12:00,Banenzwemmen,1/2 Tobbe (buitenbadzijde)
vrijdag 30 mei 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
vrijdag 30 mei 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
vrijdag 30 mei 2025,10:00 – 10:45,Zwemles ABC voor volwassenen,Spaardersbad
vrijdag 30 mei 2025,11:00 – 11:45,Watergymnastiek,Trefkuil
vrijdag 30 mei 2025,15:30 – 18:00,Zwemles,Trefkuil
vrijdag 30 mei 2025,15:30 – 18:00,Zwemles,Spaardersbad
zaterdag 31 mei 2025,08:00 – 08:45,Zwemles,1/2 Tobbe (buitenbadzijde)
zaterdag 31 mei 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zaterdag 31 mei 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zaterdag 31 mei 2025,10:30 – 12:00,Diplomazwemmen ABC,1/2 Tobbe (buitenbadzijde)
zaterdag 31 mei 2025,12:30 – 15:00,Zwemles,Trefkuil
zaterdag 31 mei 2025,12:30 – 15:00,Zwemles,Spaardersbad
zondag 1 juni 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zondag 1 juni 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zondag 1 juni 2025,09:15 – 11:30,Zwemles 'Door ouder aan kind',Spaardersbad
zondag 1 juni 2025,09:15 – 11:30,Zwemles 'Door ouder aan kind',Trefkuil
zondag 1 juni 2025,12:00 – 14:00,Recreatief zwemmen,Trefkuil
zondag 1 juni 2025,12:00 – 14:00,Recreatief zwemmen,Spaardersbad
maandag 2 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 2 juni 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
maandag 2 juni 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
maandag 2 juni 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
maandag 2 juni 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
maandag 2 juni 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
maandag 2 juni 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
maandag 2 juni 2025,11:00 – 12:00,Zwemmen met een visuele beperking,1/2 Tobbe (horecazijde)
maandag 2 juni 2025,11:15 – 12:15,Warm water zwemmen,Trefkuil
maandag 2 juni 2025,13:00 – 13:45,Schoolzwemmen,Trefkuil
maandag 2 juni 2025,13:00 – 13:45,Schoolzwemmen,Spaardersbad
maandag 2 juni 2025,15:00 – 18:15,Zwemles,Trefkuil
maandag 2 juni 2025,15:00 – 18:15,Zwemles,Spaardersbad
maandag 2 juni 2025,18:30 – 22:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 2 juni 2025,19:20 – 20:05,Zwemles ABC voor volwassenen,Trefkuil
maandag 2 juni 2025,20:10 – 20:55,Zwemles ABC voor volwassenen,Trefkuil
maandag 2 juni 2025,21:00 – 22:00,Warm water zwemmen,Trefkuil
dinsdag 3 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
dinsdag 3 juni 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
dinsdag 3 juni 2025,09:30 – 10:15,Aquajoggen,Spaardersbad
dinsdag 3 juni 2025,10:45 – 11:30,Schoolzwemmen,Trefkuil
dinsdag 3 juni 2025,10:45 – 11:30,Schoolzwemmen,Spaardersbad
dinsdag 3 juni 2025,11:45 – 12:30,Watergymnastiek,Trefkuil
dinsdag 3 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
dinsdag 3 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
dinsdag 3 juni 2025,15:00 – 18:15,Zwemles,Trefkuil
dinsdag 3 juni 2025,15:00 – 18:15,Zwemles,Spaardersbad
