Date,Time,Activity,Facility
zondag 8 juni 2025,09:00 – 12:00,Banenzwemmen,1/2 Tobbe (buitenbadzijde)
maandag 9 juni 2025,09:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 9 juni 2025,09:00 – 12:00,Banenzwemmen,1/2 Tobbe (buitenbadzijde)
dinsdag 10 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
dinsdag 10 juni 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
dinsdag 10 juni 2025,09:30 – 10:15,Aquajoggen,Spaardersbad
dinsdag 10 juni 2025,10:45 – 11:30,Schoolzwemmen,Trefkuil
dinsdag 10 juni 2025,10:45 – 11:30,Schoolzwemmen,Spaardersbad
dinsdag 10 juni 2025,11:45 – 12:30,Watergymnastiek,Trefkuil
dinsdag 10 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
dinsdag 10 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
dinsdag 10 juni 2025,15:00 – 18:15,Zwemles,Trefkuil
dinsdag 10 juni 2025,15:00 – 18:15,Zwemles,Spaardersbad
dinsdag 10 juni 2025,18:30 – 19:00,Baby- en peuterzwemmen 3 maanden tot 2 jaar,Trefkuil
dinsdag 10 juni 2025,18:30 – 21:30,Banenzwemmen,1/2 Tobbe (buitenbadzijde)
dinsdag 10 juni 2025,19:00 – 19:30,Baby- en peuterzwemmen 2 tot 4 jaar,Trefkuil
dinsdag 10 juni 2025,19:45 – 20:30,Aquajoggen,Trefkuil
woensdag 11 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
woensdag 11 juni 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
woensdag 11 juni 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
woensdag 11 juni 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
woensdag 11 juni 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
woensdag 11 juni 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
woensdag 11 juni 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
woensdag 11 juni 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
woensdag 11 juni 2025,13:00 – 13:45,Zwemles,1/2 Tobbe (horecazijde)
woensdag 11 juni 2025,13:15 – 17:30,Zwemles,Trefkuil
woensdag 11 juni 2025,13:15 – 17:30,Zwemles,Spaardersbad
woensdag 11 juni 2025,20:00 – 21:30,Banenzwemmen,1/2 Tobbe (horecazijde)
donderdag 12 juni 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
donderdag 12 juni 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
donderdag 12 juni 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
donderdag 12 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
donderdag 12 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
donderdag 12 juni 2025,15:30 – 18:00,Zwemles,Trefkuil
donderdag 12 juni 2025,15:30 – 18:00,Zwemles,Spaardersbad
donderdag 12 juni 2025,19:45 – 20:30,Aquajoggen,Spaardersbad
donderdag 12 juni 2025,20:15 – 21:00,Zwanger & Fit,Trefkuil
vrijdag 13 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
vrijdag 13 juni 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
vrijdag 13 juni 2025,10:00 – 10:45,Zwemles ABC voor volwassenen,Spaardersbad
vrijdag 13 juni 2025,11:00 – 11:45,Watergymnastiek,Trefkuil
vrijdag 13 juni 2025,15:30 – 18:00,Zwemles,Trefkuil
vrijdag 13 juni 2025,15:30 – 18:00,Zwemles,Spaardersbad
zaterdag 14 juni 2025,08:00 – 08:45,Zwemles,1/2 Tobbe (buitenbadzijde)
zaterdag 14 juni 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zaterdag 14 juni 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zaterdag 14 juni 2025,12:30 – 15:00,Zwemles,Trefkuil
zaterdag 14 juni 2025,12:30 – 15:00,Zwemles,Spaardersbad
zondag 15 juni 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zondag 15 juni 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zondag 15 juni 2025,09:15 – 11:30,Zwemles 'Door ouder aan kind',Spaardersbad
zondag 15 juni 2025,09:15 – 11:30,Zwemles 'Door ouder aan kind',Trefkuil
zondag 15 juni 2025,12:00 – 14:00,Recreatief zwemmen,Trefkuil
zondag 15 juni 2025,12:00 – 14:00,Recreatief zwemmen,Spaardersbad
maandag 16 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 16 juni 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
maandag 16 juni 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
maandag 16 juni 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
maandag 16 juni 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
maandag 16 juni 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
maandag 16 juni 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
maandag 16 juni 2025,11:00 – 12:00,Zwemmen met een visuele beperking,1/2 Tobbe (horecazijde)
maandag 16 juni 2025,11:15 – 12:15,Warm water zwemmen,Trefkuil
maandag 16 juni 2025,13:00 – 13:45,Schoolzwemmen,Trefkuil
maandag 16 juni 2025,13:00 – 13:45,Schoolzwemmen,Spaardersbad
maandag 16 juni 2025,15:00 – 18:15,Zwemles,Trefkuil
maandag 16 juni 2025,15:00 – 18:15,Zwemles,Spaardersbad
maandag 16 juni 2025,18:30 – 22:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 16 juni 2025,19:20 – 20:05,Zwemles ABC voor volwassenen,Trefkuil
maandag 16 juni 2025,20:10 – 20:55,Zwemles ABC voor volwassenen,Trefkuil
maandag 16 juni 2025,21:00 – 22:00,Warm water zwemmen,Trefkuil
dinsdag 17 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
dinsdag 17 juni 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
dinsdag 17 juni 2025,09:30 – 10:15,Aquajoggen,Spaardersbad
dinsdag 17 juni 2025,10:45 – 11:30,Schoolzwemmen,Trefkuil
dinsdag 17 juni 2025,10:45 – 11:30,Schoolzwemmen,Spaardersbad
dinsdag 17 juni 2025,11:45 – 12:30,Watergymnastiek,Trefkuil
dinsdag 17 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
dinsdag 17 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
dinsdag 17 juni 2025,15:00 – 18:15,Zwemles,Trefkuil
dinsdag 17 juni 2025,15:00 – 18:15,Zwemles,Spaardersbad
dinsdag 17 juni 2025,18:30 – 19:00,Baby- en peuterzwemmen 3 maanden tot 2 jaar,Trefkuil
dinsdag 17 juni 2025,18:30 – 21:30,Banenzwemmen,1/2 Tobbe (buitenbadzijde)
dinsdag 17 juni 2025,19:00 – 19:30,Baby- en peuterzwemmen 2 tot 4 jaar,Trefkuil
dinsdag 17 juni 2025,19:45 – 20:30,Aquajoggen,Trefkuil
woensdag 18 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
woensdag 18 juni 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
woensdag 18 juni 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
woensdag 18 juni 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
woensdag 18 juni 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
woensdag 18 juni 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
woensdag 18 juni 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
woensdag 18 juni 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
woensdag 18 juni 2025,13:00 – 13:45,Zwemles,1/2 Tobbe (horecazijde)
woensdag 18 juni 2025,13:15 – 17:30,Zwemles,Trefkuil
woensdag 18 juni 2025,13:15 – 17:30,Zwemles,Spaardersbad
woensdag 18 juni 2025,20:00 – 21:30,Banenzwemmen,1/2 Tobbe (horecazijde)
donderdag 19 juni 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
donderdag 19 juni 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
donderdag 19 juni 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
donderdag 19 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
donderdag 19 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
donderdag 19 juni 2025,15:30 – 18:00,Zwemles,Trefkuil
donderdag 19 juni 2025,15:30 – 18:00,Zwemles,Spaardersbad
donderdag 19 juni 2025,19:45 – 20:30,Aquajoggen,Spaardersbad
donderdag 19 juni 2025,20:15 – 21:00,Zwanger & Fit,Trefkuil
vrijdag 20 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
vrijdag 20 juni 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
vrijdag 20 juni 2025,10:00 – 10:45,Zwemles ABC voor volwassenen,Spaardersbad
vrijdag 20 juni 2025,11:00 – 11:45,Watergymnastiek,Trefkuil
vrijdag 20 juni 2025,15:30 – 18:00,Zwemles,Trefkuil
vrijdag 20 juni 2025,15:30 – 18:00,Zwemles,Spaardersbad
zaterdag 21 juni 2025,08:00 – 08:45,Zwemles,1/2 Tobbe (buitenbadzijde)
zaterdag 21 juni 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zaterdag 21 juni 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zaterdag 21 juni 2025,10:30 – 12:00,Diplomazwemmen ABC,1/2 Tobbe (buitenbadzijde)
zaterdag 21 juni 2025,12:30 – 15:00,Zwemles,Trefkuil
zaterdag 21 juni 2025,12:30 – 15:00,Zwemles,Spaardersbad
zondag 22 juni 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zondag 22 juni 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zondag 22 juni 2025,09:15 – 11:30,Zwemles 'Door ouder aan kind',Spaardersbad
zondag 22 juni 2025,09:15 – 11:30,Zwemles 'Door ouder aan kind',Trefkuil
zondag 22 juni 2025,12:00 – 14:00,Recreatief zwemmen,Trefkuil
zondag 22 juni 2025,12:00 – 14:00,Recreatief zwemmen,Spaardersbad
maandag 23 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 23 juni 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
maandag 23 juni 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
maandag 23 juni 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
maandag 23 juni 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
maandag 23 juni 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
maandag 23 juni 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
maandag 23 juni 2025,11:00 – 12:00,Zwemmen met een visuele beperking,1/2 Tobbe (horecazijde)
maandag 23 juni 2025,11:15 – 12:15,Warm water zwemmen,Trefkuil
maandag 23 juni 2025,13:00 – 13:45,Schoolzwemmen,Trefkuil
maandag 23 juni 2025,13:00 – 13:45,Schoolzwemmen,Spaardersbad
maandag 23 juni 2025,15:00 – 18:15,Zwemles,Trefkuil
maandag 23 juni 2025,15:00 – 18:15,Zwemles,Spaardersbad
maandag 23 juni 2025,18:30 – 22:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 23 juni 2025,19:20 – 20:05,Zwemles ABC voor volwassenen,Trefkuil
maandag 23 juni 2025,20:10 – 20:55,Zwemles ABC voor volwassenen,Trefkuil
maandag 23 juni 2025,21:00 – 22:00,Warm water zwemmen,Trefkuil
dinsdag 24 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
dinsdag 24 juni 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
dinsdag 24 juni 2025,09:30 – 10:15,Aquajoggen,Spaardersbad
dinsdag 24 juni 2025,10:45 – 11:30,Schoolzwemmen,Trefkuil
dinsdag 24 juni 2025,10:45 – 11:30,Schoolzwemmen,Spaardersbad
dinsdag 24 juni 2025,11:45 – 12:30,Watergymnastiek,Trefkuil
dinsdag 24 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
dinsdag 24 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
dinsdag 24 juni 2025,15:00 – 18:15,Zwemles,Trefkuil
dinsdag 24 juni 2025,15:00 – 18:15,Zwemles,Spaardersbad
dinsdag 24 juni 2025,18:30 – 19:00,Baby- en peuterzwemmen 3 maanden tot 2 jaar,Trefkuil
dinsdag 24 juni 2025,18:30 – 21:30,Banenzwemmen,1/2 Tobbe (buitenbadzijde)
dinsdag 24 juni 2025,19:00 – 19:30,Baby- en peuterzwemmen 2 tot 4 jaar,Trefkuil
dinsdag 24 juni 2025,19:45 – 20:30,Aquajoggen,Trefkuil
woensdag 25 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
woensdag 25 juni 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
woensdag 25 juni 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
woensdag 25 juni 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
woensdag 25 juni 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
woensdag 25 juni 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
woensdag 25 juni 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
woensdag 25 juni 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
woensdag 25 juni 2025,13:00 – 13:45,Zwemles,1/2 Tobbe (horecazijde)
woensdag 25 juni 2025,13:15 – 17:30,Zwemles,Trefkuil
woensdag 25 juni 2025,13:15 – 17:30,Zwemles,Spaardersbad
woensdag 25 juni 2025,20:00 – 21:30,Banenzwemmen,1/2 Tobbe (horecazijde)
donderdag 26 juni 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
donderdag 26 juni 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
donderdag 26 juni 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
donderdag 26 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
donderdag 26 juni 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
donderdag 26 juni 2025,15:30 – 18:00,Zwemles,Trefkuil
donderdag 26 juni 2025,15:30 – 18:00,Zwemles,Spaardersbad
donderdag 26 juni 2025,19:45 – 20:30,Aquajoggen,Spaardersbad
donderdag 26 juni 2025,20:15 – 21:00,Zwanger & Fit,Trefkuil
vrijdag 27 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
vrijdag 27 juni 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
vrijdag 27 juni 2025,10:00 – 10:45,Zwemles ABC voor volwassenen,Spaardersbad
vrijdag 27 juni 2025,11:00 – 11:45,Watergymnastiek,Trefkuil
vrijdag 27 juni 2025,15:30 – 18:00,Zwemles,Trefkuil
vrijdag 27 juni 2025,15:30 – 18:00,Zwemles,Spaardersbad
zaterdag 28 juni 2025,08:00 – 08:45,Zwemles,1/2 Tobbe (buitenbadzijde)
zaterdag 28 juni 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zaterdag 28 juni 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zaterdag 28 juni 2025,10:30 – 12:00,Diplomazwemmen ABC,1/2 Tobbe (buitenbadzijde)
zaterdag 28 juni 2025,12:30 – 15:00,Zwemles,Trefkuil
zaterdag 28 juni 2025,12:30 – 15:00,Zwemles,Spaardersbad
zondag 29 juni 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zondag 29 juni 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zondag 29 juni 2025,09:15 – 11:30,Zwemles 'Door ouder aan kind',Spaardersbad
zondag 29 juni 2025,09:15 – 11:30,Zwemles 'Door ouder aan kind',Trefkuil
zondag 29 juni 2025,12:00 – 14:00,Recreatief zwemmen,Trefkuil
zondag 29 juni 2025,12:00 – 14:00,Recreatief zwemmen,Spaardersbad
maandag 30 juni 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 30 juni 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
maandag 30 juni 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
maandag 30 juni 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
maandag 30 juni 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
maandag 30 juni 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
maandag 30 juni 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
maandag 30 juni 2025,11:00 – 12:00,Zwemmen met een visuele beperking,1/2 Tobbe (horecazijde)
maandag 30 juni 2025,11:15 – 12:15,Warm water zwemmen,Trefkuil
maandag 30 juni 2025,13:00 – 13:45,Schoolzwemmen,Trefkuil
maandag 30 juni 2025,13:00 – 13:45,Schoolzwemmen,Spaardersbad
maandag 30 juni 2025,15:00 – 18:15,Zwemles,Trefkuil
maandag 30 juni 2025,15:00 – 18:15,Zwemles,Spaardersbad
maandag 30 juni 2025,18:30 – 22:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 30 juni 2025,19:20 – 20:05,Zwemles ABC voor volwassenen,Trefkuil
maandag 30 juni 2025,20:10 – 20:55,Zwemles ABC voor volwassenen,Trefkuil
maandag 30 juni 2025,21:00 – 22:00,Warm water zwemmen,Trefkuil
dinsdag 1 juli 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
dinsdag 1 juli 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
dinsdag 1 juli 2025,09:30 – 10:15,Aquajoggen,Spaardersbad
dinsdag 1 juli 2025,10:45 – 11:30,Schoolzwemmen,Trefkuil
dinsdag 1 juli 2025,10:45 – 11:30,Schoolzwemmen,Spaardersbad
dinsdag 1 juli 2025,11:45 – 12:30,Watergymnastiek,Trefkuil
dinsdag 1 juli 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
dinsdag 1 juli 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
dinsdag 1 juli 2025,15:00 – 18:15,Zwemles,Trefkuil
dinsdag 1 juli 2025,15:00 – 18:15,Zwemles,Spaardersbad
dinsdag 1 juli 2025,18:30 – 19:00,Baby- en peuterzwemmen 3 maanden tot 2 jaar,Trefkuil
dinsdag 1 juli 2025,18:30 – 21:30,Banenzwemmen,1/2 Tobbe (buitenbadzijde)
dinsdag 1 juli 2025,19:00 – 19:30,Baby- en peuterzwemmen 2 tot 4 jaar,Trefkuil
dinsdag 1 juli 2025,19:45 – 20:30,Aquajoggen,Trefkuil
woensdag 2 juli 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
woensdag 2 juli 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
woensdag 2 juli 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
woensdag 2 juli 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
woensdag 2 juli 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
woensdag 2 juli 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
woensdag 2 juli 2025,13:00 – 13:45,Zwemles,1/2 Tobbe (horecazijde)
woensdag 2 juli 2025,13:15 – 17:30,Zwemles,Trefkuil
woensdag 2 juli 2025,13:15 – 17:30,Zwemles,Spaardersbad
woensdag 2 juli 2025,20:00 – 21:30,Banenzwemmen,1/2 Tobbe (horecazijde)
donderdag 3 juli 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
donderdag 3 juli 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
donderdag 3 juli 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
donderdag 3 juli 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
donderdag 3 juli 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
donderdag 3 juli 2025,15:30 – 18:00,Zwemles,Trefkuil
donderdag 3 juli 2025,15:30 – 18:00,Zwemles,Spaardersbad
donderdag 3 juli 2025,19:45 – 20:30,Aquajoggen,Spaardersbad
donderdag 3 juli 2025,20:15 – 21:00,Zwanger & Fit,Trefkuil
vrijdag 4 juli 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
vrijdag 4 juli 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
vrijdag 4 juli 2025,10:00 – 10:45,Zwemles ABC voor volwassenen,Spaardersbad
vrijdag 4 juli 2025,11:00 – 11:45,Watergymnastiek,Trefkuil
vrijdag 4 juli 2025,15:30 – 18:00,Zwemles,Trefkuil
vrijdag 4 juli 2025,15:30 – 18:00,Zwemles,Spaardersbad
zaterdag 5 juli 2025,08:00 – 08:45,Zwemles,1/2 Tobbe (buitenbadzijde)
zaterdag 5 juli 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zaterdag 5 juli 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zaterdag 5 juli 2025,10:30 – 12:00,Diplomazwemmen ABC,1/2 Tobbe (buitenbadzijde)
zaterdag 5 juli 2025,12:30 – 15:00,Zwemles,Trefkuil
zaterdag 5 juli 2025,12:30 – 15:00,Zwemles,Spaardersbad
zondag 6 juli 2025,09:00 – 11:30,Banenzwemmen,1/2 Tobbe (horecazijde)
zondag 6 juli 2025,09:00 – 11:30,Banenzwemmen,Buitenbad
zondag 6 juli 2025,09:15 – 11:30,Zwemles 'Door ouder aan kind',Spaardersbad
zondag 6 juli 2025,09:15 – 11:30,Zwemles 'Door ouder aan kind',Trefkuil
zondag 6 juli 2025,12:00 – 14:00,Recreatief zwemmen,Trefkuil
zondag 6 juli 2025,12:00 – 14:00,Recreatief zwemmen,Spaardersbad
maandag 7 juli 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 7 juli 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
maandag 7 juli 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
maandag 7 juli 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
maandag 7 juli 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
maandag 7 juli 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
maandag 7 juli 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
maandag 7 juli 2025,11:00 – 12:00,Zwemmen met een visuele beperking,1/2 Tobbe (horecazijde)
maandag 7 juli 2025,11:15 – 12:15,Warm water zwemmen,Trefkuil
maandag 7 juli 2025,13:00 – 13:45,Schoolzwemmen,Trefkuil
maandag 7 juli 2025,13:00 – 13:45,Schoolzwemmen,Spaardersbad
maandag 7 juli 2025,15:00 – 18:15,Zwemles,Trefkuil
maandag 7 juli 2025,15:00 – 18:15,Zwemles,Spaardersbad
maandag 7 juli 2025,18:30 – 22:00,Banenzwemmen,1/2 Tobbe (horecazijde)
maandag 7 juli 2025,19:20 – 20:05,Zwemles ABC voor volwassenen,Trefkuil
maandag 7 juli 2025,20:10 – 20:55,Zwemles ABC voor volwassenen,Trefkuil
maandag 7 juli 2025,21:00 – 22:00,Warm water zwemmen,Trefkuil
dinsdag 8 juli 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
dinsdag 8 juli 2025,08:00 – 09:00,Warm water zwemmen,Trefkuil
dinsdag 8 juli 2025,09:30 – 10:15,Aquajoggen,Spaardersbad
dinsdag 8 juli 2025,10:45 – 11:30,Schoolzwemmen,Trefkuil
dinsdag 8 juli 2025,10:45 – 11:30,Schoolzwemmen,Spaardersbad
dinsdag 8 juli 2025,11:45 – 12:30,Watergymnastiek,Trefkuil
dinsdag 8 juli 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
dinsdag 8 juli 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
dinsdag 8 juli 2025,15:00 – 18:15,Zwemles,Trefkuil
dinsdag 8 juli 2025,15:00 – 18:15,Zwemles,Spaardersbad
dinsdag 8 juli 2025,18:30 – 19:00,Baby- en peuterzwemmen 3 maanden tot 2 jaar,Trefkuil
dinsdag 8 juli 2025,18:30 – 21:30,Banenzwemmen,1/2 Tobbe (buitenbadzijde)
dinsdag 8 juli 2025,19:00 – 19:30,Baby- en peuterzwemmen 2 tot 4 jaar,Trefkuil
dinsdag 8 juli 2025,19:45 – 20:30,Aquajoggen,Trefkuil
woensdag 9 juli 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
woensdag 9 juli 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
woensdag 9 juli 2025,09:15 – 09:45,"Baby- en peuterzwemmen 3 maanden tot 1,5 jaar",Trefkuil
woensdag 9 juli 2025,09:45 – 10:15,"Baby- en peuterzwemmen 1,5 tot 3 jaar",Trefkuil
woensdag 9 juli 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
woensdag 9 juli 2025,10:30 – 11:00,Baby- en peuterzwemmen 3 tot 4 jaar,Trefkuil
woensdag 9 juli 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
woensdag 9 juli 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
woensdag 9 juli 2025,13:00 – 13:45,Zwemles,1/2 Tobbe (horecazijde)
woensdag 9 juli 2025,13:15 – 17:30,Zwemles,Trefkuil
woensdag 9 juli 2025,13:15 – 17:30,Zwemles,Spaardersbad
woensdag 9 juli 2025,20:00 – 21:30,Banenzwemmen,1/2 Tobbe (horecazijde)
donderdag 10 juli 2025,10:00 – 10:45,Aquajoggen,Spaardersbad
donderdag 10 juli 2025,11:15 – 12:00,Schoolzwemmen,Trefkuil
donderdag 10 juli 2025,11:15 – 12:00,Schoolzwemmen,Spaardersbad
donderdag 10 juli 2025,13:00 – 14:30,Recreatief zwemmen 55+,Trefkuil
donderdag 10 juli 2025,13:00 – 14:30,Recreatief zwemmen 55+,Spaardersbad
vrijdag 11 juli 2025,07:00 – 12:00,Banenzwemmen,1/2 Tobbe (horecazijde)
vrijdag 11 juli 2025,09:00 – 12:00,Banenzwemmen,Buitenbad
vrijdag 11 juli 2025,10:00 – 10:45,Zwemles ABC voor volwassenen,Spaardersbad
vrijdag 11 juli 2025,11:00 – 11:45,Watergymnastiek,Trefkuil
vrijdag 11 juli 2025,15:30 – 18:00,Zwemles,Trefkuil
vrijdag 11 juli 2025,15:30 – 18:00,Zwemles,Spaardersbad
