soort_sport,sportaanbieder,website
Bridge | Dammen | Go | Schaken,De Hoog Biljart & Bridge Centrum,https://bdcgouda.nl/sporten-2/
Schaken,Schaakclub Messemaker,https://www.messemaker-1847.nl/wp/
Turnen,Velocitas,https://www.velocitasgouda.nl/
Handbal,Vires et Celeritas,https://www.vireshandbal.nl/
Hengelsport,Viswaterpachting Gouda,https://ghvgroenehart.nl/afdelingen/viswaterpachting-gouda/
Hockey,Gouds Mixed Hockey Club,https://www.gmhc.nl/
Honkbal | Softbal,HSV The Braves,http://www.braves.nl/
Korfbal,A&CKV Gemini,https://gemini-korfbal.nl/
Bootcamp,FysioVisiq,https://fysiovisiq.nl/groepslessen/
Crossfit,Crossfit Gouda,https://crossfit-gouda.nl/
Fitness,Sportcity Gouda,https://www.sportcity.nl/gouda
Fitness,Victory Centrum Gouda,https://sportscholen.fitness/nl/i/1832-victory-centrum-gouda/
(Groeps)fitness,Den Edel Fun to be Fit,https://www.denedelgouda.nl/index.php/fitness
Outdoor Gym,Gymboxx Gouda,https://gymboxxgouda.nl/
Motorcrossen,Motorcross club Holland,https://www.mccholland.nl/
Paardrijden,De Goudse Manage,https://www.degoudsemanege.nl/
Paardrijden,Ruiterclub Bloemendaal,https://ruiterclubbloemendaal.nl/
Petanque,Petanque Vereniging Gouda,https://goudapetanque.nl/
Badminton,Gouweslag,https://www.gouweslag.nl/
Badminton,Watergras,http://badmintonwatergras.nl/
Squash,Sportcity,https://www.sportcity.nl/squash
Tafeltennis,Tafeltennisvereniging GTV Vriendenschaar,http://www.vriendenschaar.net/
Tennis | Padel,Goudse tennis- en padelclub Ad Astra,https://www.gtpcadastra.nl/
Tennis,G.L.T.C. Be Quick,https://www.bequick.nl/
Tennis,GTC TIOD,https://www.tiod.nl/
Rugby,RFC Gouda,https://www.rfcgouda.nl
Historisch Schermen,Sint-Michielsgilde Gouda,https://www.sintmichielsgilde.nl/
Schermen,SV De Vrijbuiters,https://www.svvrijbuiters.nl/wordpress/
Schieten,De Gouwe Schutters,http://www.gouweschutters.nl/
Handboogschieten,HSV Gravin Jacoba van Beieren,https://www.gravinjacoba.nl/
Trimmen,Groene Harttrimclub Gouda,https://www.groeneharttrimclubgouda.nl/trimmen/
Trimmen,Trimmen Sport Groep Gouda,https://www.trimgroepdeheeren.nl/
