categorie,locatie,pagina_url,zaal_naam
Binnensport,Sporthal de Zebra,https://www.sportpuntgouda.nl/sporthal-de-zebra,1000ste sporthal
Binnensport,Sporthal de Zebra,https://www.sportpuntgouda.nl/sporthal-de-zebra,Gezonde sportkantine
Binnensport,Sporthal de Zebra,https://www.sportpuntgouda.nl/sporthal-de-zebra,Toegankelijkheid
Binnensport,Sporthal de Zebra,https://www.sportpuntgouda.nl/sporthal-de-zebra,Horecagelegenheid
Binnensport,Sporthal de Zebra,https://www.sportpuntgouda.nl/sporthal-de-zebra,Hal
Binnensport,Sporthal de Zebra,https://www.sportpuntgouda.nl/sporthal-de-zebra,Multifunctionele zaal
Binnensport,Sporthal de Zebra,https://www.sportpuntgouda.nl/sporthal-de-zebra,Vergaderzaal
categorie,locatie,pagina_url,zaal_naam
Binnensport,Sportcentrum de Mammoet,https://www.sportpuntgouda.nl/sportcentrum-de-mammoet,Evenementen hal
Binnensport,Sportcentrum de Mammoet,https://www.sportpuntgouda.nl/sportcentrum-de-mammoet,Horecagelegenheid
Binnensport,Sportcentrum de Mammoet,https://www.sportpuntgouda.nl/sportcentrum-de-mammoet,Hal 1
Binnensport,Sportcentrum de Mammoet,https://www.sportpuntgouda.nl/sportcentrum-de-mammoet,Hal 2
Binnensport,Sportcentrum de Mammoet,https://www.sportpuntgouda.nl/sportcentrum-de-mammoet,Horecagelegenheid
Binnensport,Sportcentrum de Mammoet,https://www.sportpuntgouda.nl/sportcentrum-de-mammoet,Multifunctionele zaal 1 (klein)
Binnensport,Sportcentrum de Mammoet,https://www.sportpuntgouda.nl/sportcentrum-de-mammoet,Multifunctionele zaal 2 (middel)
Binnensport,Sportcentrum de Mammoet,https://www.sportpuntgouda.nl/sportcentrum-de-mammoet,Multifunctionele zaal 3 (groot)
categorie,locatie,pagina_url,naam_zaal,adres_en_wijk,afmetingen,douches
Binnensport,Gymzalen en Sportzalen,https://www.sportpuntgouda.nl/gymzalen-en-sportzalen,Accommodatie huren?,Wil jij de accomodaties bij ons huren? Vul onderstaand het formulier in.,,
Binnensport,Gymzalen en Sportzalen,https://www.sportpuntgouda.nl/gymzalen-en-sportzalen,Gymzaal A.G. de Vrijestraat,"A.G. de Vrijestraat 1a, 2806 SP Gouda","21x12x5,50",Ja
Binnensport,Gymzalen en Sportzalen,https://www.sportpuntgouda.nl/gymzalen-en-sportzalen,Gymzaal Brittenburg,"Brittenburg 52, 2804 ZZ Gouda","21x12x5,50",Ja
Binnensport,Gymzalen en Sportzalen,https://www.sportpuntgouda.nl/gymzalen-en-sportzalen,Gymzaal Columbuslaan,"Columbuslaan 2, 2803 ET Gouda","21x12x5,50",Ja
Binnensport,Gymzalen en Sportzalen,https://www.sportpuntgouda.nl/gymzalen-en-sportzalen,Gymzaal G. Leeustraat,"Gerard Leeustraat 4, 2802 RZ Gouda","21x12x5,50",Ja
Binnensport,Gymzalen en Sportzalen,https://www.sportpuntgouda.nl/gymzalen-en-sportzalen,Gymzaal Herpstraat,"Herpstraat 1, 2801 CR Gouda",18x9x5,Nee
Binnensport,Gymzalen en Sportzalen,https://www.sportpuntgouda.nl/gymzalen-en-sportzalen,Gymzaal Middenmolenlaan,"Middenmolenlaan 68, 2807 EC Gouda","21x12x5,50",Ja
Binnensport,Gymzalen en Sportzalen,https://www.sportpuntgouda.nl/gymzalen-en-sportzalen,Gymzaal Nansenstraat,"Nansenstraat 40a, 2806 HL Gouda","21x12x5,50",Ja
Binnensport,Gymzalen en Sportzalen,https://www.sportpuntgouda.nl/gymzalen-en-sportzalen,Gymzaal Oosthoef,"Oosthoef 1, 2804 ST Gouda","21x12x5,50",Ja
Binnensport,Gymzalen en Sportzalen,https://www.sportpuntgouda.nl/gymzalen-en-sportzalen,Gymzaal Scholenpad,"Scholenpad 4A, 2804 RW Gouda","21x12x5,50",Ja
